#degree distribution
#
#simulation with:
#SEED
#N_AGENTS
#N_USERS
#N_SOURCES
#P_a
#P_s
#dim
#time
#memorySize
node,degree
6,23
7,11
8,9
9,3
10,19
11,1
12,4
13,6
14,3
15,14
16,15
17,15
18,0
19,2
20,3
21,18
22,2
23,2
24,3
25,1
26,13
27,28
28,7
29,17
30,32
31,5
32,13
33,6
34,1
35,4
36,17
37,1
38,1
39,14
40,21
41,14
42,17
43,4
44,5
45,1
46,4
47,12
48,12
49,3
50,19
51,2
52,3
53,1
54,7
55,5
56,0
57,3
58,6
59,11
60,23
61,10
62,15
63,2
64,24
65,21
66,12
67,2
68,20
69,3
70,2
71,10
72,1
73,20
74,14
75,27
76,7
77,13
78,6
79,7
80,1
81,5
82,8
83,3
84,4
85,9
86,1
87,1
88,19
89,18
90,1
91,9
92,12
93,1
94,9
95,2
96,14
97,17
98,9
99,13
100,14
101,1
102,24
103,1
104,12
105,19
106,4
107,3
108,21
109,2
110,23
111,3
112,28
113,1
114,1
115,2
116,3
117,18
118,2
119,14
120,2
121,16
122,7
123,15
124,6
125,10
126,4
127,18
128,1
129,12
130,1
131,8
132,16
133,18
134,0
135,14
136,3
137,12
138,3
139,14
140,15
141,2
142,12
143,5
144,11
145,15
146,2
147,2
148,2
149,15
150,15
151,6
152,14
153,0
154,0
155,4
156,7
157,17
158,28
159,5
160,1
161,12
162,5
163,0
164,15
165,4
166,3
167,1
168,2
169,10
170,5
171,14
172,2
173,12
174,2
175,7
176,0
177,4
178,19
179,15
180,4
181,20
182,1
183,1
184,2
185,12
186,15
187,10
188,4
189,9
190,5
191,4
192,1
193,7
194,4
195,1
196,19
197,1
198,14
199,8
200,13
201,5
202,6
203,11
204,2
205,11
206,2
207,3
208,9
209,4
210,15
211,1
212,9
213,5
214,3
215,10
216,9
217,4
218,2
219,21
220,13
221,11
222,15
223,2
224,0
225,22
226,12
227,17
228,12
229,4
230,5
231,1
232,7
233,2
234,7
235,5
236,14
237,10
238,6
239,21
240,8
241,1
242,25
243,22
244,14
245,19
246,1
247,4
248,0
249,7
250,10
251,5
252,5
253,4
254,17
255,5
256,2
257,1
258,2
259,16
260,15
261,0
262,7
263,12
264,19
265,1
266,2
267,23
268,17
269,1
270,9
271,2
272,5
273,0
274,20
275,25
276,8
277,22
278,21
279,1
280,0
281,7
282,22
283,10
284,4
285,4
286,15
287,1
288,6
289,10
290,12
291,11
292,6
293,18
294,9
295,3
296,3
297,15
298,10
299,1
300,8
301,4
302,14
303,12
304,4
305,1
306,12
307,14
308,1
309,24
310,14
311,4
312,16
313,10
314,1
315,4
316,20
317,15
318,22
319,1
320,1
321,3
322,16
323,12
324,8
325,18
326,3
327,3
328,18
329,10
330,12
331,2
332,10
333,16
334,3
335,0
336,2
337,15
338,0
339,5
340,12
341,16
342,7
343,12
344,3
345,22
346,9
347,4
348,19
349,29
350,4
351,2
352,1
353,12
354,2
355,14
356,2
357,10
358,12
359,17
360,1
361,2
362,19
363,0
364,22
365,3
366,3
367,4
368,18
369,3
370,1
371,12
372,4
373,4
374,5
375,10
376,1
377,19
378,5
379,20
380,2
381,16
382,21
383,2
384,5
385,6
386,2
387,21
388,12
389,5
390,6
391,4
392,2
393,1
394,10
395,17
396,10
397,18
398,15
399,2
400,1
401,20
402,2
403,16
404,22
405,12
406,12
407,16
408,1
409,5
410,3
411,3
412,2
413,14
414,4
415,6
416,5
417,2
418,12
419,13
420,22
421,6
422,5
423,12
424,18
425,0
426,1
427,15
428,15
429,5
430,24
431,7
432,7
433,7
434,5
435,27
436,1
437,13
438,3
439,9
440,5
441,25
442,9
443,10
444,9
445,1
446,3
447,2
448,8
449,17
450,9
451,15
452,3
453,14
454,12
455,11
456,3
457,4
458,18
459,1
460,3
461,14
462,17
463,18
464,15
465,2
466,3
467,25
468,10
469,1
470,17
471,8
472,15
473,5
474,2
475,2
476,18
477,12
478,21
479,2
480,8
481,1
482,12
483,18
484,18
485,26
486,2
487,1
488,7
489,12
490,2
491,2
492,1
493,19
494,19
495,7
496,12
497,1
498,1
499,6
500,20
501,11
502,22
503,4
504,14
505,13
0,9
1,25
2,18
3,63
4,41
5,1
