# Wed Nov 22 15:31:38 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
1,1,d4c75aa9fc0b79fa,1,1,1,c
2,1,28c094ef064863fc,2,2,1,c
0,1,f88be83f68cd0403,0,0,1,c
0,1,f88be83f68cd0403,0,54,2,p
0,1,f88be83f68cd0403,0,92,2,p
0,1,f88be83f68cd0403,54,191,2,p
0,1,f88be83f68cd0403,0,85,2,p
1,1,d4c75aa9fc0b79fa,1,95,2,p
1,1,d4c75aa9fc0b79fa,95,55,2,p
0,1,f88be83f68cd0403,0,94,2,p
0,1,f88be83f68cd0403,54,155,2,p
1,1,d4c75aa9fc0b79fa,1,74,2,p
0,1,f88be83f68cd0403,0,26,2,p
0,1,f88be83f68cd0403,155,88,2,a
1,1,d4c75aa9fc0b79fa,95,55,2,a
0,1,f88be83f68cd0403,92,34,2,a
0,1,f88be83f68cd0403,94,168,2,a
0,1,f88be83f68cd0403,85,133,2,a
1,1,d4c75aa9fc0b79fa,55,179,2,a
1,1,d4c75aa9fc0b79fa,74,78,2,a
0,1,f88be83f68cd0403,54,191,2,a
0,1,f88be83f68cd0403,191,56,2,a
0,1,f88be83f68cd0403,26,43,2,a
0,1,f88be83f68cd0403,155,54,3,p
0,1,f88be83f68cd0403,54,155,3,p
0,1,f88be83f68cd0403,168,94,3,p
1,1,d4c75aa9fc0b79fa,95,55,3,p
1,1,d4c75aa9fc0b79fa,55,95,3,p
0,1,f88be83f68cd0403,34,92,3,p
0,1,f88be83f68cd0403,133,85,3,p
1,1,d4c75aa9fc0b79fa,78,74,3,p
0,1,f88be83f68cd0403,43,26,3,p
0,1,f88be83f68cd0403,54,191,3,p
1,1,d4c75aa9fc0b79fa,74,78,3,a
1,1,d4c75aa9fc0b79fa,55,179,3,a
1,1,d4c75aa9fc0b79fa,95,55,3,a
0,1,f88be83f68cd0403,34,92,3,a
0,1,f88be83f68cd0403,191,56,3,a
0,1,f88be83f68cd0403,155,88,3,a
0,1,f88be83f68cd0403,92,34,3,a
1,1,d4c75aa9fc0b79fa,55,29,4,p
1,1,d4c75aa9fc0b79fa,175,63,4,p
2,1,28c094ef064863fc,2,193,4,p
1,1,d4c75aa9fc0b79fa,1,34,4,p
1,1,d4c75aa9fc0b79fa,95,162,4,p
0,1,f88be83f68cd0403,56,133,4,p
0,1,f88be83f68cd0403,0,17,4,p
2,1,28c094ef064863fc,2,129,4,p
0,1,f88be83f68cd0403,54,155,4,p
2,1,28c094ef064863fc,129,70,4,p
1,1,d4c75aa9fc0b79fa,29,55,4,p
2,1,28c094ef064863fc,2,138,4,p
0,1,f88be83f68cd0403,43,109,4,p
0,1,f88be83f68cd0403,94,183,4,p
2,1,28c094ef064863fc,2,15,4,p
2,1,28c094ef064863fc,2,140,4,p
2,1,28c094ef064863fc,138,74,4,p
2,1,28c094ef064863fc,2,73,4,p
2,1,28c094ef064863fc,129,146,4,p
0,1,f88be83f68cd0403,109,79,4,p
0,1,f88be83f68cd0403,88,72,4,p
0,1,f88be83f68cd0403,0,91,4,p
2,1,28c094ef064863fc,2,200,4,p
0,1,f88be83f68cd0403,56,150,4,p
0,1,f88be83f68cd0403,88,117,4,p
2,1,28c094ef064863fc,2,99,4,p
1,1,d4c75aa9fc0b79fa,55,175,4,p
2,1,28c094ef064863fc,2,187,4,p
0,1,f88be83f68cd0403,109,103,4,p
0,1,f88be83f68cd0403,0,36,4,p
0,1,f88be83f68cd0403,26,159,4,p
2,1,28c094ef064863fc,2,152,4,p
0,1,f88be83f68cd0403,54,191,4,p
1,1,d4c75aa9fc0b79fa,55,95,4,p
0,1,f88be83f68cd0403,54,101,4,p
2,1,28c094ef064863fc,73,22,4,p
0,1,f88be83f68cd0403,0,92,4,p
1,1,d4c75aa9fc0b79fa,1,75,4,p
2,1,28c094ef064863fc,2,148,4,p
2,1,28c094ef064863fc,138,5,4,p
1,1,d4c75aa9fc0b79fa,29,7,4,p
1,1,d4c75aa9fc0b79fa,175,98,4,p
0,1,f88be83f68cd0403,155,88,4,a
0,1,f88be83f68cd0403,183,193,4,a
2,1,28c094ef064863fc,5,187,4,a
0,1,f88be83f68cd0403,17,13,4,a
2,1,28c094ef064863fc,187,111,4,a
2,1,28c094ef064863fc,152,96,4,a
1,1,d4c75aa9fc0b79fa,78,74,4,a
0,1,f88be83f68cd0403,79,109,4,a
2,1,28c094ef064863fc,70,21,4,a
0,1,f88be83f68cd0403,72,136,4,a
1,1,d4c75aa9fc0b79fa,29,58,4,a
2,1,28c094ef064863fc,15,46,4,a
2,1,28c094ef064863fc,99,65,4,a
0,1,f88be83f68cd0403,150,118,4,a
0,1,f88be83f68cd0403,109,79,4,a
2,1,28c094ef064863fc,22,87,4,a
1,1,d4c75aa9fc0b79fa,7,6,4,a
1,1,d4c75aa9fc0b79fa,75,20,4,a
0,1,f88be83f68cd0403,13,173,4,a
2,1,28c094ef064863fc,140,93,4,a
2,1,28c094ef064863fc,146,129,4,a
0,1,f88be83f68cd0403,159,119,4,a
0,1,f88be83f68cd0403,36,69,4,a
1,1,d4c75aa9fc0b79fa,63,192,4,a
0,1,f88be83f68cd0403,56,191,4,a
0,1,f88be83f68cd0403,133,177,4,a
0,1,f88be83f68cd0403,193,183,4,a
2,1,28c094ef064863fc,129,146,4,a
1,1,d4c75aa9fc0b79fa,98,198,4,a
2,1,28c094ef064863fc,64,140,4,a
2,1,28c094ef064863fc,138,20,4,a
2,1,28c094ef064863fc,73,59,4,a
0,1,f88be83f68cd0403,91,123,4,a
1,1,d4c75aa9fc0b79fa,6,7,4,a
0,1,f88be83f68cd0403,101,38,4,a
0,1,f88be83f68cd0403,119,159,4,a
0,1,f88be83f68cd0403,103,42,4,a
1,1,d4c75aa9fc0b79fa,58,29,4,a
1,1,d4c75aa9fc0b79fa,162,108,4,a
1,1,d4c75aa9fc0b79fa,175,71,4,a
0,1,f88be83f68cd0403,117,88,4,a
2,1,28c094ef064863fc,200,134,4,a
1,1,d4c75aa9fc0b79fa,55,179,4,a
1,1,d4c75aa9fc0b79fa,34,92,4,a
0,1,f88be83f68cd0403,150,174,5,p
1,1,d4c75aa9fc0b79fa,6,44,5,p
2,1,28c094ef064863fc,70,104,5,p
0,1,f88be83f68cd0403,13,17,5,p
2,1,28c094ef064863fc,152,139,5,p
1,1,d4c75aa9fc0b79fa,55,179,5,p
1,1,d4c75aa9fc0b79fa,175,98,5,p
2,1,28c094ef064863fc,65,27,5,p
2,1,28c094ef064863fc,64,194,5,p
1,1,d4c75aa9fc0b79fa,58,16,5,p
2,1,28c094ef064863fc,2,62,5,p
1,1,d4c75aa9fc0b79fa,63,195,5,p
1,1,d4c75aa9fc0b79fa,192,121,5,p
0,1,f88be83f68cd0403,123,55,5,p
0,1,f88be83f68cd0403,72,88,5,p
0,1,f88be83f68cd0403,43,109,5,p
2,1,28c094ef064863fc,194,58,5,p
2,1,28c094ef064863fc,111,60,5,p
1,1,d4c75aa9fc0b79fa,108,190,5,p
1,1,d4c75aa9fc0b79fa,92,34,5,p
1,1,d4c75aa9fc0b79fa,121,144,5,p
1,1,d4c75aa9fc0b79fa,175,63,5,p
1,1,d4c75aa9fc0b79fa,20,75,5,p
0,1,f88be83f68cd0403,56,141,5,p
2,1,28c094ef064863fc,5,149,5,p
2,1,28c094ef064863fc,194,53,5,p
0,1,f88be83f68cd0403,13,188,5,p
2,1,28c094ef064863fc,12,182,5,p
1,1,d4c75aa9fc0b79fa,7,189,5,p
0,1,f88be83f68cd0403,26,159,5,p
2,1,28c094ef064863fc,21,163,5,p
1,1,d4c75aa9fc0b79fa,74,78,5,p
0,1,f88be83f68cd0403,0,82,5,p
2,1,28c094ef064863fc,65,99,5,p
2,1,28c094ef064863fc,96,152,5,p
2,1,28c094ef064863fc,194,154,5,p
2,1,28c094ef064863fc,138,5,5,p
0,1,f88be83f68cd0403,38,101,5,p
0,1,f88be83f68cd0403,69,36,5,p
0,1,f88be83f68cd0403,123,91,5,p
0,1,f88be83f68cd0403,56,150,5,p
2,1,28c094ef064863fc,70,21,5,p
2,1,28c094ef064863fc,22,73,5,p
2,1,28c094ef064863fc,2,199,5,p
0,1,f88be83f68cd0403,159,119,5,p
2,1,28c094ef064863fc,21,176,5,p
0,1,f88be83f68cd0403,88,117,5,p
2,1,28c094ef064863fc,59,83,5,p
1,1,d4c75aa9fc0b79fa,6,7,5,p
0,1,f88be83f68cd0403,36,80,5,p
0,1,f88be83f68cd0403,0,106,5,p
2,1,28c094ef064863fc,2,165,5,p
0,1,f88be83f68cd0403,106,66,5,p
2,1,28c094ef064863fc,2,193,5,p
0,1,f88be83f68cd0403,0,120,5,p
1,1,d4c75aa9fc0b79fa,190,33,5,p
0,1,f88be83f68cd0403,103,132,5,p
0,1,f88be83f68cd0403,54,155,5,p
2,1,28c094ef064863fc,199,72,5,p
0,1,f88be83f68cd0403,56,96,5,p
0,1,f88be83f68cd0403,55,29,5,p
0,1,f88be83f68cd0403,183,158,5,p
2,1,28c094ef064863fc,111,19,5,p
2,1,28c094ef064863fc,154,6,5,p
0,1,f88be83f68cd0403,17,13,5,p
2,1,28c094ef064863fc,73,32,5,p
2,1,28c094ef064863fc,65,43,5,p
2,1,28c094ef064863fc,22,20,5,p
2,1,28c094ef064863fc,154,42,5,p
0,1,f88be83f68cd0403,29,123,5,p
0,1,f88be83f68cd0403,88,9,5,p
0,1,f88be83f68cd0403,96,56,5,p
2,1,28c094ef064863fc,193,153,5,p
2,1,28c094ef064863fc,42,25,5,p
1,1,d4c75aa9fc0b79fa,33,89,5,p
0,1,f88be83f68cd0403,36,90,5,p
0,1,f88be83f68cd0403,0,14,5,p
0,1,f88be83f68cd0403,94,183,5,p
2,1,28c094ef064863fc,2,148,5,p
0,1,f88be83f68cd0403,26,130,5,p
1,1,d4c75aa9fc0b79fa,198,76,5,p
2,1,28c094ef064863fc,73,59,5,p
2,1,28c094ef064863fc,19,4,5,p
2,1,28c094ef064863fc,134,200,5,p
2,1,28c094ef064863fc,59,107,5,p
2,1,28c094ef064863fc,32,97,5,p
1,1,d4c75aa9fc0b79fa,63,175,5,p
2,1,28c094ef064863fc,2,166,5,p
2,1,28c094ef064863fc,199,102,5,p
2,1,28c094ef064863fc,43,181,5,p
2,1,28c094ef064863fc,20,22,5,p
2,1,28c094ef064863fc,12,77,5,p
2,1,28c094ef064863fc,22,162,5,p
2,1,28c094ef064863fc,19,140,5,p
2,1,28c094ef064863fc,21,70,5,p
2,1,28c094ef064863fc,42,103,5,p
0,1,f88be83f68cd0403,80,131,5,p
2,1,28c094ef064863fc,3,138,5,p
2,1,28c094ef064863fc,42,128,5,p
2,1,28c094ef064863fc,176,201,5,p
2,1,28c094ef064863fc,87,133,5,p
2,1,28c094ef064863fc,27,65,5,p
2,1,28c094ef064863fc,128,79,5,p
0,1,f88be83f68cd0403,119,64,5,p
2,1,28c094ef064863fc,5,187,5,p
2,1,28c094ef064863fc,6,46,5,p
2,1,28c094ef064863fc,12,15,5,p
0,1,f88be83f68cd0403,91,202,5,p
2,1,28c094ef064863fc,70,129,5,p
0,1,f88be83f68cd0403,17,171,5,p
2,1,28c094ef064863fc,129,146,5,p
2,1,28c094ef064863fc,6,100,5,p
2,1,28c094ef064863fc,6,67,5,p
2,1,28c094ef064863fc,59,24,5,p
2,1,28c094ef064863fc,128,97,5,a
2,1,28c094ef064863fc,67,6,5,a
2,1,28c094ef064863fc,165,78,5,a
0,1,f88be83f68cd0403,56,191,5,a
2,1,28c094ef064863fc,138,20,5,a
1,1,d4c75aa9fc0b79fa,34,92,5,a
2,1,28c094ef064863fc,149,97,5,a
1,1,d4c75aa9fc0b79fa,76,57,5,a
0,1,f88be83f68cd0403,109,79,5,a
2,1,28c094ef064863fc,201,177,5,a
0,1,f88be83f68cd0403,91,123,5,a
1,1,d4c75aa9fc0b79fa,189,78,5,a
2,1,28c094ef064863fc,77,57,5,a
2,1,28c094ef064863fc,15,46,5,a
2,1,28c094ef064863fc,107,150,5,a
0,1,f88be83f68cd0403,117,88,5,a
0,1,f88be83f68cd0403,119,159,5,a
0,1,f88be83f68cd0403,171,60,5,a
0,1,f88be83f68cd0403,202,178,5,a
2,1,28c094ef064863fc,27,173,5,a
2,1,28c094ef064863fc,139,133,5,a
0,1,f88be83f68cd0403,118,151,5,a
2,1,28c094ef064863fc,59,73,5,a
0,1,f88be83f68cd0403,13,173,5,a
0,1,f88be83f68cd0403,136,72,5,a
2,1,28c094ef064863fc,62,113,5,a
1,1,d4c75aa9fc0b79fa,33,89,5,a
2,1,28c094ef064863fc,176,21,5,a
0,1,f88be83f68cd0403,101,38,5,a
2,1,28c094ef064863fc,181,43,5,a
0,1,f88be83f68cd0403,88,117,5,a
2,1,28c094ef064863fc,104,24,5,a
1,1,d4c75aa9fc0b79fa,179,55,5,a
2,1,28c094ef064863fc,46,15,5,a
0,1,f88be83f68cd0403,158,151,5,a
1,1,d4c75aa9fc0b79fa,89,33,5,a
2,1,28c094ef064863fc,73,59,5,a
0,1,f88be83f68cd0403,17,13,5,a
2,1,28c094ef064863fc,162,108,5,a
2,1,28c094ef064863fc,177,133,5,a
0,1,f88be83f68cd0403,66,25,5,a
0,1,f88be83f68cd0403,130,185,5,a
0,1,f88be83f68cd0403,131,80,5,a
2,1,28c094ef064863fc,20,135,5,a
2,1,28c094ef064863fc,4,19,5,a
1,1,d4c75aa9fc0b79fa,195,8,5,a
2,1,28c094ef064863fc,53,172,5,a
2,1,28c094ef064863fc,65,27,5,a
2,1,28c094ef064863fc,97,128,5,a
2,1,28c094ef064863fc,163,25,5,a
0,1,f88be83f68cd0403,123,55,5,a
2,1,28c094ef064863fc,6,7,5,a
0,1,f88be83f68cd0403,14,142,5,a
2,1,28c094ef064863fc,166,10,5,a
