# Thu Jun  8 18:04:56 2017
#simulation with:
#SEED 17
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.015
#P_s 0.15
#dim 3
#time 500
#memorySize 1
ag1,ag2,time,weight,type
3,200,1,0.6152463776911576,a
4,48,1,0.5209454786462615,a
4,160,1,0.6669380461593963,a
5,52,1,0.5327947556195138,a
5,104,1,0.3401064470638917,a
5,121,1,0.34932938367252764,a
5,135,1,0.32469339064378916,a
5,144,1,0.3806445086797163,a
5,161,1,0.4694048910862979,a
6,65,1,0.739634214479732,a
6,71,1,0.8113503154189561,a
6,97,1,0.5672146052107359,a
6,160,1,0.9057105677693351,a
6,184,1,0.6275341171546822,a
6,200,1,0.6352090362725927,a
7,113,1,0.7789673757405015,a
7,150,1,0.7232940523307716,a
7,168,1,0.8934977442117533,a
7,202,1,0.9510288492017687,a
8,69,1,0.5546559855379201,a
8,71,1,0.5997010333061981,a
9,25,1,0.43228390339558603,a
11,120,1,0.428661226469492,a
11,139,1,0.9670257181772208,a
11,148,1,0.9545119379999909,a
12,28,1,0.3525973756803873,a
12,83,1,0.40802178691025887,a
12,99,1,0.9987253655759307,a
13,68,1,0.317186531266939,a
13,194,1,0.4509935724006097,a
14,72,1,0.37093290209226276,a
14,128,1,0.9114472055698886,a
14,158,1,0.6137555985050482,a
15,79,1,0.8929091818009385,a
16,29,1,0.8403262247695047,a
16,97,1,0.6355106658861531,a
16,110,1,0.4536505801127769,a
16,162,1,0.7574437144457942,a
16,175,1,0.8396787604055824,a
16,187,1,0.44986061898736773,a
17,55,1,0.9197535331016935,a
17,118,1,0.9067051670408852,a
17,124,1,0.9232843715496208,a
18,57,1,0.5906084870269332,a
18,90,1,0.897859506545394,a
18,162,1,0.696059910134669,a
18,165,1,0.3637995530900061,a
19,86,1,0.4053207819781622,a
19,163,1,0.5123926972903068,a
19,167,1,0.8300040310388159,a
19,196,1,0.7793214063492284,a
20,68,1,0.4734010331993333,a
20,75,1,0.4830801353896845,a
20,100,1,0.9438391775998474,a
20,167,1,0.7467332285475884,a
21,56,1,0.6712810337637398,a
21,97,1,0.7357474556059596,a
22,48,1,0.8402804488590123,a
22,109,1,0.7201726180768453,a
22,130,1,0.5703408568593116,a
23,89,1,0.8354677771489263,a
23,188,1,0.8157642508281129,a
23,192,1,0.41304478290471813,a
24,193,1,0.786779162988673,a
25,29,1,0.9387574797271181,a
26,85,1,0.44861213271787725,a
26,86,1,0.7630468465037863,a
26,102,1,0.7055820711587442,a
26,161,1,0.3552534752421179,a
26,166,1,0.46532288041730846,a
27,62,1,0.7311804923362264,a
28,58,1,0.48125750234399306,a
28,88,1,0.8321263304303341,a
28,157,1,0.37564935544771993,a
28,182,1,0.9593268235814558,a
28,188,1,0.42815213454712486,a
29,123,1,0.6554741564181297,a
29,133,1,0.3635377514017339,a
30,36,1,0.8268611791021587,a
31,62,1,0.7190751704470202,a
31,96,1,0.38231483074935946,a
31,155,1,0.3365847873536213,a
32,61,1,0.9049741301962566,a
32,72,1,0.8505796442672273,a
32,101,1,0.7453763989755702,a
32,111,1,0.9686630674741936,a
32,184,1,0.39355540407978956,a
32,185,1,0.5040458489928661,a
34,50,1,0.9233384568605352,a
34,59,1,0.46777199868096214,a
34,69,1,0.7781975584004944,a
36,155,1,0.3487238905655319,a
37,44,1,0.6987994440084715,a
37,102,1,0.8716301867845755,a
37,110,1,0.314499061292036,a
37,116,1,0.5282638107406368,a
37,152,1,0.8330462283503419,a
37,172,1,0.358780480767262,a
38,81,1,0.6264657623952702,a
39,41,1,0.9255708901142983,a
40,177,1,0.5765650272908858,a
40,198,1,0.8904967590041104,a
40,200,1,0.7975536789103517,a
41,68,1,0.9629977628720658,a
41,94,1,0.3834179064650816,a
41,183,1,0.3943553043939201,a
43,183,1,0.4156847613470668,a
44,45,1,0.32815533165031685,a
44,85,1,0.31245640197694624,a
45,53,1,0.9712567179735976,a
45,173,1,0.8732704491983658,a
45,176,1,0.47650423629608324,a
46,65,1,0.9705143208849913,a
46,142,1,0.43022139536390114,a
47,50,1,0.5576978306321876,a
47,63,1,0.935838412917702,a
47,105,1,0.38037149459124625,a
48,99,1,0.9007421655958119,a
48,130,1,0.5872779377586931,a
48,172,1,0.3038424462621068,a
49,172,1,0.9862057611056385,a
50,80,1,0.8638137402019934,a
50,109,1,0.6588498711183801,a
51,71,1,0.4740120677770004,a
51,76,1,0.5080663543665248,a
51,138,1,0.9659422537260351,a
51,156,1,0.3993061363002811,a
52,67,1,0.9567979804571318,a
52,84,1,0.5421275367869567,a
52,114,1,0.5863053977623522,a
52,137,1,0.7103274434854924,a
52,173,1,0.6752557140050828,a
53,62,1,0.601441721419279,a
53,85,1,0.5387580325524414,a
53,152,1,0.7591906595813342,a
53,155,1,0.3164630430247224,a
54,165,1,0.9535413959153662,a
55,110,1,0.8878648564675098,a
55,201,1,0.4336787806210524,a
58,87,1,0.486249073696715,a
59,115,1,0.6586939485067622,a
60,154,1,0.8630383407572717,a
60,160,1,0.9216863240408855,a
61,152,1,0.9587751934768836,a
62,86,1,0.3965987353574256,a
