# Wed Nov 22 12:08:51 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
ag1,ag2,time,weight,type
3,32,1,0.48516940635933525,a
3,81,1,0.6985273342524765,a
3,103,1,0.5401798387704508,a
3,142,1,0.7786581907249397,a
3,149,1,0.5312012249178628,a
3,156,1,0.9625370137233715,a
3,164,1,0.668286534606032,a
3,199,1,0.42551097392251247,a
4,66,1,0.8185150035974889,a
4,124,1,0.4485489901040432,a
4,130,1,0.6620261969352101,a
4,142,1,0.5849899774464091,a
5,38,1,0.42957997171650864,a
5,72,1,0.6441126438153895,a
5,131,1,0.6427090344599975,a
5,143,1,0.47144452797774505,a
5,175,1,0.7224423918993362,a
5,193,1,0.8218516828345672,a
6,46,1,0.37003618068849486,a
6,90,1,0.40048378067905194,a
6,109,1,0.8120464945790336,a
6,157,1,0.7937732848122468,a
7,32,1,0.8295982276726372,a
7,76,1,0.4075203701917638,a
7,109,1,0.504230708311028,a
7,127,1,0.735289756383456,a
7,130,1,0.9618765182242861,a
7,142,1,0.7608809335162462,a
7,199,1,0.9522826351596005,a
8,37,1,0.682919192975959,a
8,75,1,0.9540356414750437,a
8,86,1,0.4418830599432767,a
8,141,1,0.6810693815279878,a
8,159,1,0.9290291950527991,a
8,163,1,0.8116686333576337,a
9,103,1,0.8045640908026581,a
9,113,1,0.7005639918166777,a
9,160,1,0.7137137693021864,a
9,172,1,0.6622029216467027,a
9,199,1,0.5374845064301441,a
9,200,1,0.7716924133180711,a
10,31,1,0.6815653982996821,a
10,188,1,0.9153316298597822,a
10,197,1,0.7701809380530589,a
11,81,1,0.550645046187623,a
11,140,1,0.5789746061542139,a
11,168,1,0.7403940302868763,a
12,107,1,0.807500444963162,a
12,144,1,0.9184444586690337,a
12,156,1,0.5268377364170824,a
12,160,1,0.42819783557565505,a
12,168,1,0.536670374405352,a
13,68,1,0.4183136647425657,a
13,110,1,0.6755371763432181,a
13,144,1,0.5310687936929895,a
14,158,1,0.4862633531938744,a
14,172,1,0.9533343905488192,a
14,190,1,0.9744370171633554,a
15,41,1,0.3193162394794226,a
15,44,1,0.5001104920366894,a
15,84,1,0.9825893537509276,a
15,134,1,0.45589557236951306,a
