# Tue Nov 21 19:29:48 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
0,1,fb9bc139e6b00778,0,0,1,c
2,1,21bb3ffb79e271ff,2,2,1,c
1,1,f2b74d568c895a9f,1,1,1,c
0,1,fb9bc139e6b00778,0,73,2,p
2,1,21bb3ffb79e271ff,2,93,2,p
0,1,fb9bc139e6b00778,0,168,2,p
1,1,f2b74d568c895a9f,1,136,2,p
1,1,f2b74d568c895a9f,1,147,2,p
1,1,f2b74d568c895a9f,1,56,2,p
0,1,fb9bc139e6b00778,0,52,2,p
0,1,fb9bc139e6b00778,0,73,3,p
1,1,f2b74d568c895a9f,1,56,3,p
0,1,fb9bc139e6b00778,0,168,3,p
1,1,f2b74d568c895a9f,1,147,3,p
0,1,fb9bc139e6b00778,0,52,3,p
1,1,f2b74d568c895a9f,1,136,3,p
1,1,f2b74d568c895a9f,56,166,3,p
1,1,f2b74d568c895a9f,56,93,3,p
0,1,fb9bc139e6b00778,0,9,4,p
2,1,21bb3ffb79e271ff,2,57,4,p
1,1,f2b74d568c895a9f,93,56,4,p
2,1,21bb3ffb79e271ff,57,42,4,p
0,1,fb9bc139e6b00778,52,174,4,p
1,1,f2b74d568c895a9f,56,166,4,p
1,1,f2b74d568c895a9f,93,129,4,p
0,1,fb9bc139e6b00778,174,81,4,p
0,1,fb9bc139e6b00778,0,115,4,p
1,1,f2b74d568c895a9f,1,60,4,p
2,1,21bb3ffb79e271ff,2,44,4,p
0,1,fb9bc139e6b00778,0,155,4,p
2,1,21bb3ffb79e271ff,2,185,4,p
0,1,fb9bc139e6b00778,0,189,4,p
2,1,21bb3ffb79e271ff,185,177,4,p
1,1,f2b74d568c895a9f,93,136,4,p
0,1,fb9bc139e6b00778,115,58,4,p
2,1,21bb3ffb79e271ff,2,123,4,p
1,1,f2b74d568c895a9f,147,150,4,p
1,1,f2b74d568c895a9f,1,36,4,p
0,1,fb9bc139e6b00778,52,178,4,p
1,1,f2b74d568c895a9f,36,46,4,p
1,1,f2b74d568c895a9f,36,143,4,p
2,1,21bb3ffb79e271ff,123,101,4,p
2,1,21bb3ffb79e271ff,2,193,4,p
1,1,f2b74d568c895a9f,150,147,4,p
0,1,fb9bc139e6b00778,9,169,4,p
1,1,f2b74d568c895a9f,36,13,4,p
1,1,f2b74d568c895a9f,147,187,4,p
0,1,fb9bc139e6b00778,174,52,4,p
2,1,21bb3ffb79e271ff,2,121,4,p
2,1,21bb3ffb79e271ff,2,132,4,p
1,1,f2b74d568c895a9f,56,5,4,p
0,1,fb9bc139e6b00778,9,106,4,p
1,1,f2b74d568c895a9f,13,184,4,p
0,1,fb9bc139e6b00778,0,17,5,p
0,1,fb9bc139e6b00778,52,174,5,p
0,1,fb9bc139e6b00778,174,81,5,p
1,1,f2b74d568c895a9f,143,151,5,p
0,1,fb9bc139e6b00778,58,115,5,p
2,1,21bb3ffb79e271ff,2,88,5,p
0,1,fb9bc139e6b00778,0,34,5,p
0,1,fb9bc139e6b00778,52,104,5,p
0,1,fb9bc139e6b00778,0,155,5,p
1,1,f2b74d568c895a9f,13,36,5,p
1,1,f2b74d568c895a9f,56,166,5,p
0,1,fb9bc139e6b00778,52,178,5,p
2,1,21bb3ffb79e271ff,44,94,5,p
0,1,fb9bc139e6b00778,115,58,5,p
0,1,fb9bc139e6b00778,104,105,5,p
1,1,f2b74d568c895a9f,147,28,5,p
1,1,f2b74d568c895a9f,1,60,5,p
2,1,21bb3ffb79e271ff,132,9,5,p
1,1,f2b74d568c895a9f,151,59,5,p
2,1,21bb3ffb79e271ff,101,21,5,p
1,1,f2b74d568c895a9f,36,46,5,p
2,1,21bb3ffb79e271ff,2,193,5,p
0,1,fb9bc139e6b00778,34,103,5,p
0,1,fb9bc139e6b00778,169,165,5,p
2,1,21bb3ffb79e271ff,2,167,5,p
1,1,f2b74d568c895a9f,147,150,5,p
1,1,f2b74d568c895a9f,13,189,5,p
2,1,21bb3ffb79e271ff,21,137,5,p
1,1,f2b74d568c895a9f,143,68,5,p
1,1,f2b74d568c895a9f,129,180,5,p
0,1,fb9bc139e6b00778,52,195,5,p
1,1,f2b74d568c895a9f,59,33,5,p
0,1,fb9bc139e6b00778,115,64,5,p
0,1,fb9bc139e6b00778,0,39,5,p
2,1,21bb3ffb79e271ff,42,10,5,p
1,1,f2b74d568c895a9f,5,56,5,p
0,1,fb9bc139e6b00778,64,53,5,p
1,1,f2b74d568c895a9f,166,25,5,p
2,1,21bb3ffb79e271ff,94,100,5,p
2,1,21bb3ffb79e271ff,42,148,5,p
0,1,fb9bc139e6b00778,106,76,5,p
2,1,21bb3ffb79e271ff,2,131,5,p
2,1,21bb3ffb79e271ff,101,123,5,p
2,1,21bb3ffb79e271ff,9,132,5,p
2,1,21bb3ffb79e271ff,9,169,5,p
0,1,fb9bc139e6b00778,34,154,5,p
1,1,f2b74d568c895a9f,13,140,5,p
1,1,f2b74d568c895a9f,13,184,5,p
1,1,f2b74d568c895a9f,151,158,5,p
1,1,f2b74d568c895a9f,1,40,5,p
2,1,21bb3ffb79e271ff,2,97,5,p
1,1,f2b74d568c895a9f,140,31,5,p
2,1,21bb3ffb79e271ff,167,66,5,p
0,1,fb9bc139e6b00778,0,149,5,p
2,1,21bb3ffb79e271ff,2,90,5,p
2,1,21bb3ffb79e271ff,10,177,5,p
0,1,fb9bc139e6b00778,73,122,5,p
1,1,f2b74d568c895a9f,1,32,5,p
0,1,fb9bc139e6b00778,0,14,5,p
1,1,f2b74d568c895a9f,93,136,5,p
2,1,21bb3ffb79e271ff,169,192,5,p
1,1,f2b74d568c895a9f,68,163,5,p
2,1,21bb3ffb79e271ff,21,101,5,p
2,1,21bb3ffb79e271ff,10,117,5,p
1,1,f2b74d568c895a9f,31,87,5,p
1,1,f2b74d568c895a9f,25,198,5,p
2,1,21bb3ffb79e271ff,2,121,5,p
1,1,f2b74d568c895a9f,93,129,5,p
0,1,fb9bc139e6b00778,17,96,5,p
2,1,21bb3ffb79e271ff,10,42,5,p
2,1,21bb3ffb79e271ff,90,196,5,p
1,1,f2b74d568c895a9f,56,5,5,p
2,1,21bb3ffb79e271ff,42,57,5,p
0,1,fb9bc139e6b00778,14,78,5,p
1,1,f2b74d568c895a9f,13,12,5,p
1,1,f2b74d568c895a9f,12,13,5,p
2,1,21bb3ffb79e271ff,101,135,5,p
1,1,f2b74d568c895a9f,13,41,5,p
2,1,21bb3ffb79e271ff,132,183,5,p
0,1,fb9bc139e6b00778,64,44,5,p
0,1,fb9bc139e6b00778,39,98,5,p
0,1,fb9bc139e6b00778,106,82,5,p
2,1,21bb3ffb79e271ff,132,38,5,p
1,1,f2b74d568c895a9f,36,143,5,p
0,1,fb9bc139e6b00778,53,61,5,p
