# Wed Nov 22 11:58:50 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
0,1,6ffe8fc954aa91be,0,0,1,c
2,1,a688b3a4a3d09cad,2,2,1,c
1,1,7dba361dd1e8f991,1,1,1,c
1,1,7dba361dd1e8f991,1,185,2,p
1,1,7dba361dd1e8f991,1,187,2,p
1,1,7dba361dd1e8f991,1,45,2,p
1,1,7dba361dd1e8f991,185,158,2,p
2,1,a688b3a4a3d09cad,2,20,2,p
1,1,7dba361dd1e8f991,1,19,2,p
1,1,7dba361dd1e8f991,45,9,2,p
2,1,a688b3a4a3d09cad,2,96,2,p
2,1,a688b3a4a3d09cad,2,192,2,p
1,1,7dba361dd1e8f991,185,89,2,p
2,1,a688b3a4a3d09cad,2,86,2,p
1,1,7dba361dd1e8f991,1,117,2,p
1,1,7dba361dd1e8f991,185,70,2,p
0,1,6ffe8fc954aa91be,0,196,2,p
1,1,7dba361dd1e8f991,1,115,2,p
1,1,7dba361dd1e8f991,9,35,2,p
0,1,6ffe8fc954aa91be,0,79,2,p
1,1,7dba361dd1e8f991,35,184,2,a
0,1,6ffe8fc954aa91be,196,172,2,a
1,1,7dba361dd1e8f991,115,154,2,a
1,1,7dba361dd1e8f991,45,175,2,a
1,1,7dba361dd1e8f991,70,185,2,a
1,1,7dba361dd1e8f991,117,41,2,a
2,1,a688b3a4a3d09cad,86,199,2,a
1,1,7dba361dd1e8f991,19,23,2,a
2,1,a688b3a4a3d09cad,192,191,2,a
1,1,7dba361dd1e8f991,158,33,2,a
1,1,7dba361dd1e8f991,89,52,2,a
1,1,7dba361dd1e8f991,9,84,2,a
1,1,7dba361dd1e8f991,185,149,2,a
0,1,6ffe8fc954aa91be,79,47,2,a
2,1,a688b3a4a3d09cad,96,82,2,a
1,1,7dba361dd1e8f991,187,142,2,a
2,1,a688b3a4a3d09cad,20,148,2,a
2,1,a688b3a4a3d09cad,199,86,3,p
2,1,a688b3a4a3d09cad,148,192,3,p
1,1,7dba361dd1e8f991,84,187,3,p
1,1,7dba361dd1e8f991,23,19,3,p
1,1,7dba361dd1e8f991,70,185,3,p
1,1,7dba361dd1e8f991,9,35,3,p
1,1,7dba361dd1e8f991,35,9,3,p
1,1,7dba361dd1e8f991,52,89,3,p
0,1,6ffe8fc954aa91be,47,79,3,p
